Strain	Type	Accension	Host1	Location	A0	Year	Subtype	Host2	Group
REF_FJ638316_A_swine_IL_07003243_2007_H1N2_Swine_98A_1_2007	REF	FJ638316	swine	Illinois	7003243	2007	H1N2	Swine	98A
REF_KU598321_A_swine_Indiana_A01729045_2016_H3N2_Swine_02B_1_2016_01_07	REF	KU598321	swine	Indiana	A01729045	2016	H3N2	Swine	02B
REF_HM461772_A_swine_Iowa_02039_2008_H1N2_Swine_02A_1_2008	REF	HM461772	swine	Iowa	2039	2008	H1N2	Swine	02A
REF_KP288073_A_swine_Iowa_A01476931_2014_H1N2_Swine_02A_1_2014_11_06	REF	KP288073	swine	Iowa	A01476931	2014	H1N2	Swine	02A
REF_KT446465_A_swine_Iowa_A02025359_2015_H1N2_Swine_02A_1_2015_07_22	REF	KT446465	swine	Iowa	A02025359	2015	H1N2	Swine	02A
REF_KY354174_A_swine_Iowa_02998_2010_H1N2_Swine_02A_1_2010_03_17	REF	KY354174	swine	Iowa	2998	2010	H1N2	Swine	02A
REF_KC508598_A_swine_Michigan_A01259001_2012_H1N2_Swine_98B_1_2012_09_27	REF	KC508598	swine	Michigan	A01259001	2012	H1N2	Swine	98B
REF_HM461804_A_swine_Minnesota_02011_2008_H1N2_Swine_98A_1_2008	REF	HM461804	swine	Minnesota	2011	2008	H1N2	Swine	98A
REF_JQ906920_A_swine_Minnesota_A01134353_2011_H1N2_Swine_02A_1_2011_02_07	REF	JQ906920	swine	Minnesota	A01134353	2011	H1N2	Swine	02A
REF_KC589445_A_swine_Minnesota_A01280592_2013_H3N2_Swine_02B_1_2013_01_30	REF	KC589445	swine	Minnesota	A01280592	2013	H3N2	Swine	02B
REF_KF715131_A_swine_Minnesota_A01392045_2013_H1N2_Swine_02A_1_2013_09_06	REF	KF715131	swine	Minnesota	A01392045	2013	H1N2	Swine	02A
REF_KJ549772_A_swine_Nebraska_A01492366_2014_H1N2_Swine_02A_1_2014_02_24	REF	KJ549772	swine	Nebraska	A01492366	2014	H1N2	Swine	02A
REF_KF746331_A_swine_South_Dakota_A01365260_2013_H1N2_Swine_02A_1_2013_10_08	REF	KF746331	swine	SouthDakota	A01365260	2013	H1N2	Swine	02A
REF_JQ756349_A_swine_Illinois_A01047020_2010_H1N2_Swine_02A_2_2010_11_22	REF	JQ756349	swine	Illinois	A01047020	2010	H1N2	Swine	02A
REF_KJ605070_A_swine_Illinois_A01410405_2014_H1N2_Swine_02A_2_2014_03	REF	KJ605070	swine	Illinois	A01410405	2014	H1N2	Swine	02A
REF_KP772321_A_swine_Illinois_A01462475_2015_H3N2_Swine_02A_2_2015_01_07	REF	KP772321	swine	Illinois	A01462475	2015	H3N2	Swine	02A
REF_JN638732_A_Indiana_08_2011_H3N2_Human_02A_2_2011_07_27	REF	JN638732	human	Indiana	8	2011	H3N2	Human	02A
REF_JX534984_A_swine_Indiana_A00968373_2012_H3N2_Swine_02B_2_2012_07_13	REF	JX534984	swine	Indiana	A00968373	2012	H3N2	Swine	02B
REF_KJ650530_A_swine_Indiana_A01260471_2014_H1N2_Swine_02A_2_2014_01_23	REF	KJ650530	swine	Indiana	A01260471	2014	H1N2	Swine	02A
REF_KY354182_A_swine_Indiana_03053_2010_H1N2_Swine_02A_2_2010_07_14	REF	KY354182	swine	Indiana	3053	2010	H1N2	Swine	02A
REF_JN652524_A_swine_Iowa_A01049750_2011_H3N2_Swine_98A_2_2011_03_28	REF	JN652524	swine	Iowa	A01049750	2011	H3N2	Swine	98A
REF_KC755693_A_swine_Iowa_A01432500_2013_H3N2_Swine_98A_2_2013_03	REF	KC755693	swine	Iowa	A01432500	2013	H3N2	Swine	98A
REF_KJ635930_A_swine_Iowa_A01480656_2014_H3N2_Swine_02B_2_2014_03_19	REF	KJ635930	swine	Iowa	A01480656	2014	H3N2	Swine	02B
REF_KJ859607_A_swine_Iowa_A01410774_2014_H1N2_Swine_02A_2_2014_05	REF	KJ859607	swine	Iowa	A01410774	2014	H1N2	Swine	02A
REF_CY158459_A_swine_Minnesota_3128_2010_H1N2_Swine_02A_2_2010_09_24	REF	CY158459	swine	Minnesota	3128	2010	H1N2	Swine	02A
REF_KC020467_A_swine_Minnesota_A01301731_2012_H1N2_Swine_02A_2_2012_08_28	REF	KC020467	swine	Minnesota	A01301731	2012	H1N2	Swine	02A
REF_KC841829_A_swine_Minnesota_A01432544_2013_H3N2_Swine_02B_2_2013_03	REF	KC841829	swine	Minnesota	A01432544	2013	H3N2	Swine	02B
REF_KJ175147_A_swine_Minnesota_A01366540_2014_H1N2_Swine_02A_2_2014_01_03	REF	KJ175147	swine	Minnesota	A01366540	2014	H1N2	Swine	02A
REF_KY354173_A_swine_Minnesota_03002_2010_H1N2_Swine_02A_2_2010_04_20	REF	KY354173	swine	Minnesota	3002	2010	H1N2	Swine	02A
REF_KC562217_A_swine_Missouri_A01444664_2013_H1N2_Swine_02A_2_2013_01_15	REF	KC562217	swine	Missouri	A01444664	2013	H1N2	Swine	02A
